"Date","Time (LST)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/09/05","00:00","0.093","-","0.186"
"2019/09/05","01:00","0.106","-","0.223"
"2019/09/05","02:00","0.1","-","0.225"
"2019/09/05","03:00","0.083","-","0.204"
"2019/09/05","04:00","0.069","-","0.188"
"2019/09/05","05:00","0.057","-","0.138"
"2019/09/05","06:00","0.041","-","0.085"
"2019/09/05","07:00","0.027","-","0.037"
"2019/09/05","08:00","0.025","-","0.007"
"2019/09/05","09:00","0.044","-","0.036"
"2019/09/05","10:00","0.071","-","-0.003"
"2019/09/05","11:00","0.092","-","0.04"
"2019/09/05","12:00","0.109","-","0.073"
"2019/09/05","13:00","0.122","-","0.113"
"2019/09/05","14:00","0.117","-","0.119"
"2019/09/05","15:00","0.094","-","0.106"
"2019/09/05","16:00","0.073","-","0.078"
"2019/09/05","17:00","0.058","-","0.057"
"2019/09/05","18:00","0.042","-","0.031"
"2019/09/05","19:00","0.024","-","-0.011"
"2019/09/05","20:00","0.015","-","0.041"
"2019/09/05","21:00","0.02","-","-0.086"
"2019/09/05","22:00","0.038","-","-0.041"
"2019/09/05","23:00","0.057","-","-0.121"
"2019/09/06","00:00","0.072","-","-0.039"
"2019/09/06","01:00","0.09","-","-0.101"
"2019/09/06","02:00","0.1","-","-0.12"
"2019/09/06","03:00","0.091","-","-0.148"
"2019/09/06","04:00","0.076","-","-0.214"
"2019/09/06","05:00","0.067","-","-0.262"
"2019/09/06","06:00","0.056","-","-0.422"
"2019/09/06","07:00","0.039","-","-0.315"
"2019/09/06","08:00","0.026","-","1.339"
"2019/09/06","09:00","0.026","-","1.568"
"2019/09/06","10:00","0.042","-","1.596"
"2019/09/06","11:00","0.065","-","1.6"
"2019/09/06","12:00","0.084","-","1.086"
"2019/09/06","13:00","0.103","-","0.988"
"2019/09/06","14:00","0.116","-","1.015"
"2019/09/06","15:00","0.109","-","0.811"
"2019/09/06","16:00","0.089","-","0.853"
"2019/09/06","17:00","0.074","-","0.751"
"2019/09/06","18:00","0.063","-","0.641"
"2019/09/06","19:00","0.047","-","0.558"
"2019/09/06","20:00","0.032","-","0.488"
"2019/09/06","21:00","0.023","-","0.39"
"2019/09/06","22:00","0.026","-","0.341"
"2019/09/06","23:00","0.039","-","0.353"
"2019/09/07","00:00","0.054","-","0.329"
"2019/09/07","01:00","0.07","-","0.374"
"2019/09/07","02:00","0.087","-","0.422"
"2019/09/07","03:00","0.094","-","0.44"
"2019/09/07","04:00","0.085","-","0.458"
"2019/09/07","05:00","0.074","-","0.425"
