"Date","Time (LST)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/09/07","06:00","0.066","-","0.421"
"2019/09/07","07:00","0.053","-","0.419"
"2019/09/07","08:00","0.036","-","0.406"
"2019/09/07","09:00","0.023","-","0.388"
"2019/09/07","10:00","0.021","-","0.372"
"2019/09/07","11:00","0.034","-","0.379"
"2019/09/07","12:00","0.055","-","0.39"
"2019/09/07","13:00","0.076","-","0.411"
"2019/09/07","14:00","0.094","-","0.438"
"2019/09/07","15:00","0.105","-","0.461"
"2019/09/07","16:00","0.099","-","0.457"
"2019/09/07","17:00","0.085","-","0.443"
"2019/09/07","18:00","0.075","-","0.418"
"2019/09/07","19:00","0.065","-","0.392"
"2019/09/07","20:00","0.051","-","0.382"
"2019/09/07","21:00","0.036","-","0.349"
"2019/09/07","22:00","0.026","-","0.335"
"2019/09/07","23:00","0.026","-","0.33"
"2019/09/08","00:00","0.038","-","0.354"
"2019/09/08","01:00","0.053","-","0.382"
"2019/09/08","02:00","0.068","-","0.387"
"2019/09/08","03:00","0.083","-","0.405"
"2019/09/08","04:00","0.089","-","0.422"
"2019/09/08","05:00","0.082","-","0.428"
"2019/09/08","06:00","0.073","-","0.401"
"2019/09/08","07:00","0.063","-","0.394"
"2019/09/08","08:00","0.048","-","0.348"
"2019/09/08","09:00","0.03","-","0.326"
"2019/09/08","10:00","0.015","-","0.308"
"2019/09/08","11:00","0.011","-","0.294"
"2019/09/08","12:00","0.025","-","0.31"
"2019/09/08","13:00","0.047","-","0.345"
"2019/09/08","14:00","0.065","-","0.34"
"2019/09/08","15:00","0.083","-","0.385"
"2019/09/08","16:00","0.095","-","0.406"
"2019/09/08","17:00","0.092","-","0.408"
"2019/09/08","18:00","0.081","-","0.428"
"2019/09/08","19:00","0.073","-","0.382"
"2019/09/08","20:00","0.064","-","0.359"
"2019/09/08","21:00","0.051","-","0.332"
"2019/09/08","22:00","0.035","-","0.302"
"2019/09/08","23:00","0.022","-","0.271"
"2019/09/09","00:00","0.025","-","0.293"
"2019/09/09","01:00","0.039","-","0.32"
"2019/09/09","02:00","0.052","-","0.347"
"2019/09/09","03:00","0.065","-","0.376"
"2019/09/09","04:00","0.082","-","0.395"
"2019/09/09","05:00","0.088","-","0.392"
"2019/09/09","06:00","0.08","-","0.376"
"2019/09/09","07:00","0.069","-","0.382"
"2019/09/09","08:00","0.058","-","0.356"
"2019/09/09","09:00","0.042","-","0.339"
"2019/09/09","10:00","0.02","-","0.333"
"2019/09/09","11:00","0.003","-","0.414"
"2019/09/09","12:00","0.001","-","0.382"
"2019/09/09","13:00","0.017","-","0.106"
"2019/09/09","14:00","0.037","-","0.171"
"2019/09/09","15:00","0.054","-","0.34"
"2019/09/09","16:00","0.074","-","0.4"
"2019/09/09","17:00","0.088","-","0.432"
"2019/09/09","18:00","0.085","-","0.472"
"2019/09/09","19:00","0.075","-","0.391"
"2019/09/09","20:00","0.068","-","0.391"
"2019/09/09","21:00","0.06","-","0.361"
"2019/09/09","22:00","0.044","-","0.334"
"2019/09/09","23:00","0.027","-","0.331"
