"Date","Time (LST)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/09/05","00:00","0.2","-","0.398"
"2019/09/05","01:00","0.198","-","0.38"
"2019/09/05","02:00","0.167","-","0.352"
"2019/09/05","03:00","0.115","-","0.301"
"2019/09/05","04:00","0.06","-","0.256"
"2019/09/05","05:00","0.013","-","0.233"
"2019/09/05","06:00","-0.022","-","0.189"
"2019/09/05","07:00","-0.04","-","0.126"
"2019/09/05","08:00","-0.029","-","0.106"
"2019/09/05","09:00","0.024","-","0.118"
"2019/09/05","10:00","0.107","-","0.223"
"2019/09/05","11:00","0.184","-","0.283"
"2019/09/05","12:00","0.227","-","0.297"
"2019/09/05","13:00","0.24","-","0.291"
"2019/09/05","14:00","0.221","-","0.268"
"2019/09/05","15:00","0.17","-","0.191"
"2019/09/05","16:00","0.109","-","0.077"
"2019/09/05","17:00","0.057","-","-0.029"
"2019/09/05","18:00","0.018","-","-0.102"
"2019/09/05","19:00","-0.007","-","-0.149"
"2019/09/05","20:00","-0.015","-","-0.055"
"2019/09/05","21:00","0.006","-","0.074"
"2019/09/05","22:00","0.059","-","0.155"
"2019/09/05","23:00","0.12","-","0.29"
"2019/09/06","00:00","0.161","-","0.306"
"2019/09/06","01:00","0.181","-","0.247"
"2019/09/06","02:00","0.181","-","0.229"
"2019/09/06","03:00","0.155","-","0.213"
"2019/09/06","04:00","0.107","-","0.216"
"2019/09/06","05:00","0.057","-","0.121"
"2019/09/06","06:00","0.014","-","0.054"
"2019/09/06","07:00","-0.018","-","0.043"
"2019/09/06","08:00","-0.033","-","-0.005"
"2019/09/06","09:00","-0.02","-","-0.022"
"2019/09/06","10:00","0.033","-","0.03"
"2019/09/06","11:00","0.111","-","0.082"
"2019/09/06","12:00","0.178","-","0.161"
"2019/09/06","13:00","0.218","-","0.311"
"2019/09/06","14:00","0.231","-","0.649"
"2019/09/06","15:00","0.214","-","1.034"
"2019/09/06","16:00","0.166","-","1.126"
"2019/09/06","17:00","0.11","-","0.996"
"2019/09/06","18:00","0.063","-","0.789"
"2019/09/06","19:00","0.027","-","0.604"
"2019/09/06","20:00","0.003","-","0.478"
"2019/09/06","21:00","-0.005","-","0.413"
"2019/09/06","22:00","0.013","-","0.429"
"2019/09/06","23:00","0.06","-","0.44"
"2019/09/07","00:00","0.112","-","0.469"
"2019/09/07","01:00","0.147","-","0.49"
"2019/09/07","02:00","0.168","-","0.495"
"2019/09/07","03:00","0.171","-","0.507"
"2019/09/07","04:00","0.146","-","0.511"
"2019/09/07","05:00","0.1","-","0.502"
"2019/09/07","06:00","0.053","-","0.481"
"2019/09/07","07:00","0.013","-","0.461"
"2019/09/07","08:00","-0.017","-","0.452"
"2019/09/07","09:00","-0.029","-","0.431"
"2019/09/07","10:00","-0.015","-","0.436"
"2019/09/07","11:00","0.038","-","0.469"
"2019/09/07","12:00","0.111","-","0.498"
"2019/09/07","13:00","0.172","-","0.517"
"2019/09/07","14:00","0.21","-","0.553"
"2019/09/07","15:00","0.225","-","0.569"
"2019/09/07","16:00","0.208","-","0.578"
"2019/09/07","17:00","0.162","-","0.561"
"2019/09/07","18:00","0.108","-","0.518"
"2019/09/07","19:00","0.064","-","0.465"
"2019/09/07","20:00","0.031","-","0.443"
"2019/09/07","21:00","0.009","-","0.418"
"2019/09/07","22:00","0","-","0.403"
"2019/09/07","23:00","0.016","-","0.406"
"2019/09/08","00:00","0.059","-","0.431"
"2019/09/08","01:00","0.106","-","0.473"
"2019/09/08","02:00","0.139","-","0.521"
"2019/09/08","03:00","0.162","-","0.541"
"2019/09/08","04:00","0.166","-","0.558"
"2019/09/08","05:00","0.139","-","0.539"
"2019/09/08","06:00","0.093","-","0.503"
"2019/09/08","07:00","0.047","-","0.499"
"2019/09/08","08:00","0.008","-","0.48"
"2019/09/08","09:00","-0.019","-","0.456"
"2019/09/08","10:00","-0.03","-","0.425"
"2019/09/08","11:00","-0.014","-","0.409"
"2019/09/08","12:00","0.039","-","0.419"
"2019/09/08","13:00","0.109","-","0.472"
"2019/09/08","14:00","0.168","-","0.535"
