"Date","Time (LST)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/09/08","15:00","0.206","-","0.576"
"2019/09/08","16:00","0.221","-","0.594"
"2019/09/08","17:00","0.203","-","0.625"
"2019/09/08","18:00","0.155","-","0.59"
"2019/09/08","19:00","0.104","-","0.55"
"2019/09/08","20:00","0.062","-","0.546"
"2019/09/08","21:00","0.03","-","0.531"
"2019/09/08","22:00","0.008","-","0.493"
"2019/09/08","23:00","-0.001","-","0.45"
"2019/09/09","00:00","0.016","-","0.433"
"2019/09/09","01:00","0.059","-","0.437"
"2019/09/09","02:00","0.104","-","0.459"
"2019/09/09","03:00","0.138","-","0.491"
"2019/09/09","04:00","0.163","-","0.502"
"2019/09/09","05:00","0.165","-","0.5"
"2019/09/09","06:00","0.133","-","0.47"
"2019/09/09","07:00","0.084","-","0.454"
"2019/09/09","08:00","0.037","-","0.412"
"2019/09/09","09:00","-0.001","-","0.24"
"2019/09/09","10:00","-0.026","-","0.294"
"2019/09/09","11:00","-0.035","-","0.34"
"2019/09/09","12:00","-0.015","-","0.377"
"2019/09/09","13:00","0.041","-","0.334"
"2019/09/09","14:00","0.111","-","0.401"
"2019/09/09","15:00","0.168","-","0.412"
"2019/09/09","16:00","0.207","-","0.406"
"2019/09/09","17:00","0.22","-","0.367"
"2019/09/09","18:00","0.196","-","0.389"
"2019/09/09","19:00","0.146","-","0.424"
"2019/09/09","20:00","0.094","-","0.414"
"2019/09/09","21:00","0.053","-","0.379"
"2019/09/09","22:00","0.023","-","0.331"
"2019/09/09","23:00","0.001","-","0.283"
