#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 15 999 99.0 99.0  0.80 16.67  5.74  89 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 01 00 45 999 99.0 99.0  0.86  5.88  5.60  96 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 01 01 15 999 99.0 99.0  0.90  6.25  5.56  94 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 01 01 45 999 99.0 99.0  0.97  6.25  5.72  93 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 01 02 15 999 99.0 99.0  1.09  5.88  5.78  97 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 01 02 45 999 99.0 99.0  1.01  5.56  5.50 103 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 01 03 15 999 99.0 99.0  1.12  5.88  5.64 102 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 03 45 999 99.0 99.0  1.19  6.25  5.61 107 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 04 15 999 99.0 99.0  1.10  6.25  5.40 107 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 04 45 999 99.0 99.0  1.14  5.88  5.30 111 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 05 15 999 99.0 99.0  1.19  5.88  5.53 118 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 05 45 999 99.0 99.0  1.14  6.67  5.53 114 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 06 15 999 99.0 99.0  1.24  6.25  5.70 121 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 06 45 999 99.0 99.0  1.23  6.25  5.56 120 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 07 15 999 99.0 99.0  1.28  6.67  5.43 113 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 07 45 999 99.0 99.0  1.26  6.25  5.29 120 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 08 15 999 99.0 99.0  1.29  6.25  5.55 121 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 09 15 999 99.0 99.0  1.29  7.14  5.39 116 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 09 45 999 99.0 99.0  1.34  6.67  5.64 121 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 01 10 15 999 99.0 99.0  1.27  7.69  5.61 123 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 10 45 999 99.0 99.0  1.33  7.14  5.91 125 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 01 11 15 999 99.0 99.0  1.29  7.14  5.92 127 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 01 11 45 999 99.0 99.0  1.24  7.14  5.85 128 9999.0 999.0  10.2 999.0 99.0 99.00
2019 01 01 12 15 999 99.0 99.0  1.18  7.14  5.77 125 9999.0 999.0  10.2 999.0 99.0 99.00
2019 01 01 12 45 999 99.0 99.0  1.23  7.14  5.78 131 9999.0 999.0  10.1 999.0 99.0 99.00
2019 01 01 13 15 999 99.0 99.0  1.20  6.67  5.42 137 9999.0 999.0  10.1 999.0 99.0 99.00
2019 01 01 13 45 999 99.0 99.0  1.28  6.67  5.48 134 9999.0 999.0  10.2 999.0 99.0 99.00
2019 01 01 14 15 999 99.0 99.0  1.14  6.67  5.37 141 9999.0 999.0  10.2 999.0 99.0 99.00
2019 01 01 14 45 999 99.0 99.0  1.15  7.14  5.53 130 9999.0 999.0  10.2 999.0 99.0 99.00
2019 01 01 15 15 999 99.0 99.0  1.16  6.67  5.66 137 9999.0 999.0  10.2 999.0 99.0 99.00
2019 01 01 15 45 999 99.0 99.0  1.23  7.14  5.86 132 9999.0 999.0  10.2 999.0 99.0 99.00
2019 01 01 16 15 999 99.0 99.0  1.23  6.67  5.71 134 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 01 16 45 999 99.0 99.0  1.16  7.14  5.67 138 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 01 17 15 999 99.0 99.0  1.13  6.67  5.55 142 9999.0 999.0  10.6 999.0 99.0 99.00
2019 01 01 17 45 999 99.0 99.0  1.18  7.14  5.71 137 9999.0 999.0  10.7 999.0 99.0 99.00
2019 01 01 18 15 999 99.0 99.0  1.11  6.67  5.56 145 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 01 18 45 999 99.0 99.0  1.05  6.67  5.61 139 9999.0 999.0  10.9 999.0 99.0 99.00
2019 01 01 19 15 999 99.0 99.0  1.05  7.14  5.50 147 9999.0 999.0  11.0 999.0 99.0 99.00
2019 01 01 19 45 999 99.0 99.0  1.09  7.14  5.52 141 9999.0 999.0  11.0 999.0 99.0 99.00
2019 01 01 20 15 999 99.0 99.0  1.07  7.14  5.26 144 9999.0 999.0  10.9 999.0 99.0 99.00
2019 01 01 20 45 999 99.0 99.0  0.96  7.14  4.98 138 9999.0 999.0  10.9 999.0 99.0 99.00
2019 01 01 21 15 999 99.0 99.0  0.96  6.67  5.26 144 9999.0 999.0  10.9 999.0 99.0 99.00
2019 01 01 21 45 999 99.0 99.0  0.91  7.14  5.17 144 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 01 22 15 999 99.0 99.0  0.81  6.25  4.98 144 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 01 22 45 999 99.0 99.0  0.85  7.14  5.19 144 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 01 23 15 999 99.0 99.0  0.87  6.67  5.28 142 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 01 23 45 999 99.0 99.0  0.81  6.67  5.38 145 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 02 00 15 999 99.0 99.0  0.78  7.14  5.24 139 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 02 00 45 999 99.0 99.0  0.74  7.14  4.51 147 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 02 01 15 999 99.0 99.0  0.80  7.69  4.64 141 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 02 02 15 999 99.0 99.0  0.76  7.14  4.50 148 9999.0 999.0  10.8 999.0 99.0 99.00
2019 01 02 02 45 999 99.0 99.0  0.76  6.67  4.35 141 9999.0 999.0  10.7 999.0 99.0 99.00
2019 01 02 03 15 999 99.0 99.0  0.74  7.14  4.31 141 9999.0 999.0  10.7 999.0 99.0 99.00
2019 01 02 03 45 999 99.0 99.0  0.75  7.14  4.21 142 9999.0 999.0  10.7 999.0 99.0 99.00
2019 01 02 04 15 999 99.0 99.0  0.74 13.33  4.39 103 9999.0 999.0  10.7 999.0 99.0 99.00
2019 01 02 04 45 999 99.0 99.0  0.69 12.50  4.44  75 9999.0 999.0  10.7 999.0 99.0 99.00
2019 01 02 05 15 999 99.0 99.0  0.71 12.50  4.44  90 9999.0 999.0  10.7 999.0 99.0 99.00
2019 01 02 05 45 999 99.0 99.0  0.73 13.33  4.62  87 9999.0 999.0  10.6 999.0 99.0 99.00
2019 01 02 06 15 999 99.0 99.0  0.69 12.50  4.37  87 9999.0 999.0  10.6 999.0 99.0 99.00
2019 01 02 06 45 999 99.0 99.0  0.65 12.50  4.55  94 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 02 07 15 999 99.0 99.0  0.66  9.09  4.34 125 9999.0 999.0  10.6 999.0 99.0 99.00
2019 01 02 07 45 999 99.0 99.0  0.64 11.76  4.29  86 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 02 08 15 999 99.0 99.0  0.66 11.76  4.33  78 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 02 08 45 999 99.0 99.0  0.67 12.50  4.21  89 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 02 09 15 999 99.0 99.0  0.68 12.50  4.14 114 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 02 09 45 999 99.0 99.0  0.71 12.50  3.99  90 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 02 10 15 999 99.0 99.0  0.77  3.33  3.76  14 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 02 10 45 999 99.0 99.0  0.94  3.57  3.80  33 9999.0 999.0  10.5 999.0 99.0 99.00
2019 01 02 11 15 999 99.0 99.0  0.93  3.85  3.82  42 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 02 11 45 999 99.0 99.0  1.07  4.17  3.84  47 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 02 12 15 999 99.0 99.0  1.12  4.17  3.96  49 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 02 20 45 999 99.0 99.0  1.22  5.26  4.34  40 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 02 21 15 999 99.0 99.0  1.14  5.26  4.40  38 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 02 21 45 999 99.0 99.0  1.17  5.26  4.42  44 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 02 22 15 999 99.0 99.0  1.19  5.26  4.48  44 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 02 22 45 999 99.0 99.0  1.12  5.26  4.43  45 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 02 23 45 999 99.0 99.0  1.13  5.26  4.44  41 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 00 15 999 99.0 99.0  1.07  5.26  4.49  45 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 00 45 999 99.0 99.0  1.11  5.26  4.53  51 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 01 15 999 99.0 99.0  1.03  5.88  4.44  62 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 01 45 999 99.0 99.0  1.06  5.00  4.46  59 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 02 15 999 99.0 99.0  1.08  4.76  4.62  51 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 02 45 999 99.0 99.0  1.03  4.55  4.44  51 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 03 15 999 99.0 99.0  1.02  6.25  4.50  76 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 03 45 999 99.0 99.0  1.06  5.88  4.66  71 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 03 04 15 999 99.0 99.0  1.04  5.88  4.70  73 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 03 04 45 999 99.0 99.0  1.07  4.76  4.78  59 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 03 05 15 999 99.0 99.0  1.10  4.76  4.94  59 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 03 05 45 999 99.0 99.0  1.06  5.26  4.82  65 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 03 06 15 999 99.0 99.0  1.05  5.00  4.58  65 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 03 06 45 999 99.0 99.0  1.01  5.26  4.55  86 9999.0 999.0  10.4 999.0 99.0 99.00
2019 01 03 07 15 999 99.0 99.0  1.00  5.56  4.72  83 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 07 45 999 99.0 99.0  1.04  5.26  4.69  68 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 08 15 999 99.0 99.0  1.03  5.26  4.72  79 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 08 45 999 99.0 99.0  1.01  5.00  4.65  85 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 09 15 999 99.0 99.0  1.07  5.26  4.77  85 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 09 45 999 99.0 99.0  1.03  6.25  4.79 110 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 10 15 999 99.0 99.0  1.08  5.56  4.74  82 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 10 45 999 99.0 99.0  1.10  5.88  4.82 106 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 11 15 999 99.0 99.0  1.05  5.56  5.03  99 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 11 45 999 99.0 99.0  1.05  5.88  5.03 107 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 12 15 999 99.0 99.0  1.08  6.25  5.19 117 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 12 45 999 99.0 99.0  0.96  6.67  5.09 121 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 13 15 999 99.0 99.0  1.05  7.14  5.20 124 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 13 45 999 99.0 99.0  0.98  6.67  5.23 120 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 14 15 999 99.0 99.0  0.95  7.14  5.36 118 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 14 45 999 99.0 99.0  0.88  6.67  5.43 118 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 15 15 999 99.0 99.0  0.92  6.25  5.59 116 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 15 45 999 99.0 99.0  0.81  6.67  5.47 113 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 16 15 999 99.0 99.0  0.84  6.67  5.79 114 9999.0 999.0  10.3 999.0 99.0 99.00
2019 01 03 17 15 999 99.0 99.0  0.71  6.25  5.54 130 9999.0 999.0  10.3 999.0 99.0 99.00
