#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 05 00 00 999 99.0 99.0  0.43  8.16 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 01 00 999 99.0 99.0  0.42  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 02 00 999 99.0 99.0  0.39 12.90 99.00  75 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 03 00 999 99.0 99.0  0.42  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 04 00 999 99.0 99.0  0.39  6.90 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 05 00 999 99.0 99.0  0.47  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 06 00 999 99.0 99.0  0.50  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 07 00 999 99.0 99.0  0.46  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 08 00 999 99.0 99.0  0.51  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 09 00 999 99.0 99.0  0.51  5.26 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 10 00 999 99.0 99.0  0.55  5.97 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 11 00 999 99.0 99.0  0.63  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 12 00 999 99.0 99.0  0.58  5.97 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 13 00 999 99.0 99.0  0.53  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 14 00 999 99.0 99.0  0.41  5.71 99.00  99 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 15 00 999 99.0 99.0  0.34  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 16 00 999 99.0 99.0  0.32  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 17 00 999 99.0 99.0  0.27  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 18 00 999 99.0 99.0  0.26  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 19 00 999 99.0 99.0  0.24  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 20 00 999 99.0 99.0  0.27  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 21 00 999 99.0 99.0  0.30  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 22 00 999 99.0 99.0  0.26  8.70 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 05 23 00 999 99.0 99.0  0.26  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 00 00 999 99.0 99.0  0.31  8.16 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 01 00 999 99.0 99.0  0.30  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 02 00 999 99.0 99.0  0.30  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 03 00 999 99.0 99.0  0.32  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 04 00 999 99.0 99.0  0.29 10.81 99.00 102 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 05 00 999 99.0 99.0  0.31  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 06 00 999 99.0 99.0  0.32 10.00 99.00  98 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 07 00 999 99.0 99.0  0.28  8.70 99.00  86 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 08 00 999 99.0 99.0  0.28  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 09 00 999 99.0 99.0  0.29 14.29 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 10 00 999 99.0 99.0  0.29  9.30 99.00  93 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 06 11 00 999 99.0 99.0  0.29  8.16 99.00  85 9999.0 999.0 999.0 999.0 99.0 99.00
