Date Time, Water Level, Sigma, I, L 
2018-01-01 00:00,0.675,0.137,0,0
2018-01-01 01:00,0.197,0.134,0,0
2018-01-01 02:00,-0.298,0.117,0,0
2018-01-01 03:00,-0.650,0.107,0,0
2018-01-01 04:00,-0.844,0.112,0,0
2018-01-01 05:00,-0.721,0.135,0,0
2018-01-01 06:00,-0.559,0.138,0,0
2018-01-01 07:00,-0.308,0.147,0,0
2018-01-01 08:00,0.107,0.137,0,0
2018-01-01 09:00,0.511,0.155,0,0
2018-01-01 10:00,0.964,0.146,0,0
2018-01-01 11:00,1.122,0.154,0,0
2018-01-01 12:00,1.102,0.173,0,0
2018-01-01 13:00,0.780,0.128,0,0
2018-01-01 14:00,0.320,0.139,0,0
2018-01-01 15:00,-0.078,0.149,0,0
2018-01-01 16:00,-0.392,0.139,0,0
2018-01-01 17:00,-0.644,0.144,0,0
2018-01-01 18:00,-0.704,0.130,0,0
2018-01-01 19:00,-0.576,0.130,0,0
2018-01-01 20:00,-0.303,0.138,0,0
2018-01-01 21:00,0.110,0.142,0,0
2018-01-01 22:00,0.507,0.129,0,0
2018-01-01 23:00,0.784,0.131,0,0
2018-01-02 00:00,0.782,0.122,0,0
2018-01-02 01:00,0.557,0.122,0,0
2018-01-02 02:00,0.141,0.106,0,0
2018-01-02 03:00,-0.262,0.125,0,0
2018-01-02 04:00,-0.651,0.091,0,0
2018-01-02 05:00,-0.809,0.123,0,0
2018-01-02 06:00,-0.807,0.105,0,0
2018-01-02 07:00,-0.652,0.109,0,0
2018-01-02 08:00,-0.317,0.119,0,0
2018-01-02 09:00,0.160,0.123,0,0
2018-01-02 10:00,0.635,0.135,0,0
2018-01-02 11:00,0.978,0.132,0,0
2018-01-02 12:00,1.160,0.123,0,0
2018-01-02 13:00,1.101,0.129,0,0
2018-01-02 14:00,0.794,0.123,0,0
2018-01-02 15:00,0.355,0.113,0,0
2018-01-02 16:00,-0.087,0.121,0,0
2018-01-02 17:00,-0.490,0.108,0,0
2018-01-02 18:00,-0.708,0.103,0,0
2018-01-02 19:00,-0.790,0.099,0,0
2018-01-02 20:00,-0.591,0.106,0,0
2018-01-02 21:00,-0.211,0.101,0,0
2018-01-02 22:00,0.200,0.109,0,0
2018-01-02 23:00,0.601,0.103,0,0
2018-01-03 00:00,0.802,0.097,0,0
2018-01-03 01:00,0.755,0.108,0,0
2018-01-03 02:00,0.491,0.102,0,0
2018-01-03 03:00,0.102,0.081,0,0
2018-01-03 04:00,-0.270,0.090,0,0
2018-01-03 05:00,-0.616,0.093,0,0
2018-01-03 06:00,-0.806,0.091,0,0
2018-01-03 07:00,-0.866,0.089,0,0
2018-01-03 08:00,-0.653,0.094,0,0
2018-01-03 09:00,-0.224,0.114,0,0
2018-01-03 10:00,0.318,0.125,0,0
2018-01-03 11:00,0.789,0.124,0,0
2018-01-03 12:00,1.113,0.126,0,0
2018-01-03 13:00,1.235,0.137,0,0
2018-01-03 14:00,1.078,0.135,0,0
2018-01-03 15:00,0.800,0.129,0,0
2018-01-03 16:00,0.303,0.134,0,0
2018-01-03 17:00,-0.049,0.119,0,0
2018-01-03 18:00,-0.419,0.121,0,0
2018-01-03 19:00,-0.632,0.112,0,0
2018-01-03 20:00,-0.707,0.122,0,0
2018-01-03 21:00,-0.546,0.122,0,0
2018-01-03 22:00,-0.216,0.120,0,0
2018-01-03 23:00,0.183,0.130,0,0
2018-01-04 00:00,0.503,0.123,0,0
2018-01-04 01:00,0.849,0.121,0,0
2018-01-04 02:00,0.817,0.131,0,0
2018-01-04 03:00,0.659,0.085,0,0
2018-01-04 04:00,0.068,0.094,0,0
2018-01-04 05:00,-0.369,0.085,0,0
2018-01-04 06:00,-0.833,0.073,0,0
2018-01-04 07:00,-0.964,0.063,0,0
2018-01-04 08:00,-0.889,0.061,0,0
2018-01-04 09:00,-0.651,0.061,0,0
2018-01-04 10:00,-0.315,0.079,0,0
2018-01-04 11:00,0.097,0.089,0,0
2018-01-04 12:00,0.500,0.091,0,0
2018-01-04 13:00,0.856,0.104,0,0
2018-01-04 14:00,0.985,0.064,0,0
2018-01-04 15:00,0.969,0.082,0,0
2018-01-04 16:00,0.616,0.067,0,0
2018-01-04 17:00,0.225,0.078,0,0
2018-01-04 18:00,-0.288,0.052,0,0
2018-01-04 19:00,-0.629,0.066,0,0
2018-01-04 20:00,-0.856,0.072,0,0
2018-01-04 21:00,-0.775,0.079,0,0
2018-01-04 22:00,-0.535,0.068,0,0
2018-01-04 23:00,-0.167,0.065,0,0
2018-01-05 00:00,0.167,0.096,0,0
2018-01-05 01:00,0.434,0.079,0,0
2018-01-05 02:00,0.463,0.067,0,0
2018-01-05 03:00,0.406,0.065,0,0
2018-01-05 04:00,0.264,0.075,0,0
2018-01-05 05:00,0.000,0.068,0,0
2018-01-05 06:00,-0.287,0.059,0,0
2018-01-05 07:00,-0.644,0.066,0,0
2018-01-05 08:00,-0.938,0.061,0,0
2018-01-05 09:00,-1.003,0.079,0,0
2018-01-05 10:00,-0.781,0.063,0,0
2018-01-05 11:00,-0.301,0.084,0,0
2018-01-05 12:00,0.215,0.059,0,0
2018-01-05 13:00,0.655,0.086,0,0
