Date Time, Water Level, Sigma, I, L 
2018-01-01 00:00,0.492,0.137,0,0
2018-01-01 01:00,0.014,0.134,0,0
2018-01-01 02:00,-0.481,0.117,0,0
2018-01-01 03:00,-0.833,0.107,0,0
2018-01-01 04:00,-1.027,0.112,0,0
2018-01-01 05:00,-0.904,0.135,0,0
2018-01-01 06:00,-0.742,0.138,0,0
2018-01-01 07:00,-0.491,0.147,0,0
2018-01-01 08:00,-0.076,0.137,0,0
2018-01-01 09:00,0.328,0.155,0,0
2018-01-01 10:00,0.781,0.146,0,0
2018-01-01 11:00,0.939,0.154,0,0
2018-01-01 12:00,0.919,0.173,0,0
2018-01-01 13:00,0.597,0.128,0,0
2018-01-01 14:00,0.137,0.139,0,0
2018-01-01 15:00,-0.261,0.149,0,0
2018-01-01 16:00,-0.575,0.139,0,0
2018-01-01 17:00,-0.827,0.144,0,0
2018-01-01 18:00,-0.887,0.130,0,0
2018-01-01 19:00,-0.759,0.130,0,0
2018-01-01 20:00,-0.486,0.138,0,0
2018-01-01 21:00,-0.073,0.142,0,0
2018-01-01 22:00,0.324,0.129,0,0
2018-01-01 23:00,0.601,0.131,0,0
2018-01-02 00:00,0.599,0.122,0,0
2018-01-02 01:00,0.374,0.122,0,0
2018-01-02 02:00,-0.042,0.106,0,0
2018-01-02 03:00,-0.445,0.125,0,0
2018-01-02 04:00,-0.834,0.091,0,0
2018-01-02 05:00,-0.992,0.123,0,0
2018-01-02 06:00,-0.990,0.105,0,0
2018-01-02 07:00,-0.835,0.109,0,0
2018-01-02 08:00,-0.500,0.119,0,0
2018-01-02 09:00,-0.023,0.123,0,0
2018-01-02 10:00,0.452,0.135,0,0
2018-01-02 11:00,0.795,0.132,0,0
2018-01-02 12:00,0.977,0.123,0,0
2018-01-02 13:00,0.918,0.129,0,0
2018-01-02 14:00,0.611,0.123,0,0
2018-01-02 15:00,0.172,0.113,0,0
2018-01-02 16:00,-0.270,0.121,0,0
2018-01-02 17:00,-0.673,0.108,0,0
2018-01-02 18:00,-0.891,0.103,0,0
2018-01-02 19:00,-0.973,0.099,0,0
2018-01-02 20:00,-0.774,0.106,0,0
2018-01-02 21:00,-0.394,0.101,0,0
2018-01-02 22:00,0.017,0.109,0,0
2018-01-02 23:00,0.418,0.103,0,0
2018-01-03 00:00,0.619,0.097,0,0
2018-01-03 01:00,0.572,0.108,0,0
2018-01-03 02:00,0.308,0.102,0,0
2018-01-03 03:00,-0.081,0.081,0,0
2018-01-03 04:00,-0.453,0.090,0,0
2018-01-03 05:00,-0.799,0.093,0,0
2018-01-03 06:00,-0.989,0.091,0,0
2018-01-03 07:00,-1.049,0.089,0,0
